STT,Tên món,Giới thiệu,Loại món,Khẩu phần,Time Cooking,Nguyên liệu,Sơ chế,Cách làm,Cách dùng,Mách nhỏ,Tags,Calories,Fat Amount,Fiber Amount,Sugar Amount,Protein Amount,Link Ảnh
1,Bánh rán vị chanh,"Không phải bánh rán mặn như mọi khi, bạn hãy thử làm tặng bé món bánh rán dễ thương hình chú gấu với hương vị ngọt ngào. Cắn một miếng, cảm nhận nhân kem mát lạnh quyện trong lớp vỏ bánh xốp nhẹ thơm thơm vị chanh thật hấp dẫn!",Món mặn,4 người,25,"Chanh vàng     1 quả, Kem làm bánh (topping cream)  100g, Kẹo đường nhiều màu    1M, Húng lũi, siro dâu, Bột bánh rán pha sẵn vị truyền thống","– Chanh vàng bào lấy vỏ. Quả chanh vắt lấy nước cốt chanh.
– Đánh bông kem làm bánh đến khi kem cứng lại, cho vào tủ giữ lạnh.  
– Cho Bột bánh rán pha sẵn từ Ajinomoto vào tô, thêm vào 140ml nước lọc, 1m vỏ chanh vàng và 1m nước cốt chanh, dùng đồ đánh trứng khuấy đều.","Cho chảo không dính lên bếp đun nóng, đặt chảo lên xấp khăn ướt cho chảo nguội bớt rồi chuyển lại lên bếp, giảm lửa nhỏ, dùng vá múc bột đổ vào giữa chảo, tiếp tục dùng muỗng cafe múc một ít bột vẽ 2 tai gấu, đợi mặt bánh se lại, bánh nổi những bong bóng nhỏ, viền bánh se lại, thì dùng sạn nhựa lật mặt bánh lại, rán 30 giây cho mặt bánh chín, lấy ra dĩa. Tiếp tục rán bánh cho đến khi hết bột.","Cho topping cream lên bánh, rồi dùng cái bánh khác kẹp vào. Xếp ra dĩa tạo mắt miệng cho gấu bằng kẹo đường, rưới lên một lớp siro dâu, rắc kẹo đường xung quanh, trang trí bằng lá húng lũi. Dùng lạnh.","– Mỗi lần làm bánh xong thì nên hạ nhiệt chảo làm bánh bằng khăn ẩm để bánh làm sau không bị cháy và đẹp hơn.
– Thêm vỏ chanh bào vào để tạo hương vị đặc trưng cho bánh.","banh ran, banh ran vi chanh, bot banh ran",320,14,5,15,18,https://monngonmoingay.com/wp-content/uploads/2017/05/banh-ran-vi-chanh-540.jpg
2,Mực ống hấp củ đậu,"Mực ống hấp củ đậu hấp vừa chín tới, tươi cong, giòn ngọt, phần củ sắn và cà rốt giòn giòn vui miệng, cay thơm mùi ớt xiêm xanh, tạo nên hương vị lạ mà quen, hấp dẫn. Món mực ngon lạ miệng hấp dẫn hương vị mới. Vào bếp ngay!",Món mặn,4 người,50,"Mực ống lớn 3 con: 600g (làm sạch không bỏ da), Củ sắn: 150g, Cà rốt: 30g, Hành lá: 3 cây, Gốc ngò: 5 cây, Gừng: 15g (thái lát), Ớt sừng: 1 trái, Hành tím băm: 1M, Ớt xiêm xanh: 10 trái nhỏ, đập dập, Gia vị: tiêu, đường, bột năng, dầu ăn, dầu mè, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo, Nước tương ""Phú Sĩ""","– Củ sắn, cà rốt, ớt sừng 1/2 thái chỉ, 1/2 cắt sợi. – Hành lá một nửa cắt khúc, nửa còn lại thái chỉ. Sau đó ngâm hành lá thái chỉ và ớt sừng thái chỉ ngâm vào nước. – Gốc ngò đập dập. Mực ống khứa nhẹ ngang thân mực.","Xào rau củ: – Bắt chảo, cho 1M dầu ăn vào chảo. – Cho hành tím vào phi thơm; cho củ sắn, cà rốt, ớt xiêm xanh vào xào cùng với 1m Hạt nêm Aji-ngon® Heo, 1/4m tiêu, và 1/2m Bột ngọt AJI-NO-MOTO®, sau đó cho ớt sừng cắt sợi vào xào, cho rau củ ra dĩa. Hấp mực: Tiếp theo cho mực lên trên đĩa rau củ vừa xào, thêm gừng, gốc ngò. Rồi cho đĩa mực vào hấp chín 10 phút, sau đó chắt lấy nước hấp trong đĩa mực ra chảo nhỏ để nấu xốt. Thêm vào chảo có nước hấp: 1M Nước tương “Phú Sĩ”, 1/2m đường và ít tiêu cùng vài giọt dầu mè sau đó 2M nước bột năng, nấu sôi, tắt lửa. Trình bày: Lấy gốc ngò và gừng ra, sau đó cho phần nước xốt rưới lên trên => tiếp theo trang trí lên trên ớt sừng và hành lá.",Dùng nóng. * Món ăn đi kèm: Gà kho nấm,– Xào củ sắn và cà rốt giúp được thơm và thấm vị hơn. – Mực tươi không ướp gia vị giúp giữ được vị ngọt tự nhiên của mực. – Cho gốc ngò và gừng trong lúc hấp giúp khử mùi tanh và tăng mùi thơm cho mực.,"củ đậu, mực hấp, mực ống",416,20,5,18,16,https://monngonmoingay.com/wp-content/uploads/2022/08/muc-ong-hap-cu-dau.jpg
3,Cơm chiên dưa bò,Món cơm chiên rất quen thuộc với bữa ăn người Việt. Cùng đón năm mới với Món Ngon Mỗi Ngày qua công thức món Cơm chiên dưa bò với sự kết hợp của thịt bò và cải chua vị đậm đà vừa ăn tết xum vầy cùng gia đình nhé!,Món mặn,4 người,25,"Cơm trắng: 350g, Thịt bò fillet: 100g (cắt sợi), Cải chua: 100g (ngâm rửa, để ráo, cắt sợi), Hành ngò, Gia vị: Tiêu, đường, dầu ăn, tỏi, Gia vị nêm sẵn Aji-Quick® Phở Bò","– Trộn cơm với 10g gia vị nêm sẵn Aji-Quick® Phở Bò, 2g đường, 2g bột ngọt. – Ướp thịt bò với 1M tỏi băm, 1M dầu ăn, 5g AQPB, để thấm. – Cải chua ướp với 1m đường, để thấm.","– Phi thơm tỏi, xà sợ thịt bò, trút ra để riêng, tiếp tục xào dưa chua và cơm, chiên đến khi cơm săn lại, nêm tiêu, hành ngò, tắt lửa.","Cho cơm ra dĩa, cho thịt bò lên trên, dùng nóng. Kèm nước tương và tương ớt. * Món ăn đi kèm: Canh gà nấm mỡ","– Trộn cơm trước với gia vị để cơm thấm đều gia vị, khi chiên sẽ ngon hơn. – Nên ướp dưa chua với ít đường để cân bằng vị khi chế biến","com chien, com chien thit bo",434,12,7,18,25,https://monngonmoingay.com/wp-content/uploads/2023/01/com-chien-dua-bo.jpg
4,Chả giò ngũ vị,"Chả giò ngũ vị sẽ là món ngon làm “chao đảo” bữa cơm tuần này, bởi độ giòn rụm, cắn vào là ngập nhân bùi bùi của khoai lang, trứng muối béo nhẹ. Thơm mùi thịt bò, cần tây, lại được chấm cùng 2 loại sốt vô cùng tinh tế, khó ai có thể cưỡng lại chả giò ngũ vị đó nha!",Món mặn,4 người,35,"Da bò bía tươi    20 miếng, Thịt bò xay   100g, Giò sống   100g, Lòng đỏ trứng vịt muối 2 cái, Trứng gà    2 quả, Củ năng gọt vỏ   50g, Khoai lang      100g, Hành tỏi phi    3M, Cọng cần cắt nhuyễn   2M, Hành lá cắt khúc, ớt cắt sợi, Ớt tabasco, tương ớt chua ngọt, Muối, đường, bột năng, ngũ vị hương, dầu ăn, Nước tương ""Phú Sĩ"", Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản, Bột ngọt AJI-NO-MOTO®","Khoai lang bào sợi chiên vàng giòn. Củ năng cắt sợi nhỏ. Lòng đỏ trứng muối cắt miếng nhỏ. 1 quả trứng gà đánh tan.
– Trộn đều thịt bò xay với giò sống, 1 quả trứng gà, củ năng, khoai lang chiên, hành tỏi phi, cọng cần tàu, với 1m bột năng, 1/2m bột ngũ vị hương, 2m bột ngọt AJI-NO-MOTO®, 1/2m muối, 1M đường, 1M nước tương “Phú Sĩ”.","– Đặt da bò bía lên dĩa cho nhân thịt bò vào, xếp lòng đỏ trứng muối, ớt sợi, hành lá trên cùng, phết trứng gà lên bánh bò bía, gấp hai bên vào và cuộn lại. 
– Làm nóng dầu cho cuốn chả giò vào chiên chín vàng, vớt ra để lên giấy thấm dầu. 
– Xốt chấm: trộn đều 2M xốt Mayonnaise Aji-Mayo®, 3M tương ớt chua ngọt, 1/2M ớt tabasco đỏ.",– Xếp chả giò ra chấm xốt đã pha và dùng kèm rau xà lách.,"– Chiên khoai lang vàng giòn cho vào nhân, để tạo thêm độ bùi cho chả giò. 
– Dùng hành tỏi phi cho vào nhân giúp món ăn thơm ngon hơn.","chả giò, món chả",418,33,5,24,29,https://monngonmoingay.com/wp-content/uploads/2017/03/cha-gio-540.jpg
5,Canh ba màu,"Dù bạn có ăn chay hay không, món ăn Canh Ba Màu mà đầu bếp giới thiệu sẽ khiến cả nhà, đặc biệt là trẻ em thích thú vì hương vị thơm ngọt và nhiều sắc màu. Nào, cùng bắt tay thực hiện món ăn thơm ngon và bổ dưỡng này nhé.",Món mặn,4 người,20,"Khoai mì : 200g, Đậu phộng : 100g, Đậu hũ non : 1 hộp, Bí đỏ : 200g, Hành boaro : 1 cây, Rau om, ngò gai, Muối, đường, tiêu, dầu ăn, Hạt nêm Aji-ngon® Nấm, Bột ngọt AJI-NO-MOTO®","–       Khoai mì cắt khúc 4cm, chẻ làm 4, ngâm nước. Bí đỏ cắt khối vuông 2cm. Đậu phộng rửa sạch, giã nhỏ. Rau om, ngò gai cắt nhỏ. –       Đậu hũ cắt miếng vuông 2cm. Boaro băm một ít, phần còn lại cắt xéo 0.5cm.","–       Phi thơm hành boaro băm, cho đậu phộng giã vào xào thơm, rồi cho 1.2 lít nước vào đun sôi, cho khoai mì vào nấu chín tới, cho tiếp bí đỏ và đậu hũ vào vào, nêm 1.5M hạt nêm Aji-ngon® từ nấm hương và hạt sen, 1/2m muối, 1/2m đường, 1/2m bột ngọt AJI-NO-MOTO® và ít tiêu, nếm vị vừa ăn, cho hành boaro cắt xéo, rau om, ngò gai vào, tắt lửa.","–       Cho canh khoai mì ra tô, rắc ít tiêu, dùng nóng.",Ngâm khoai mì trong nước để khoai mì ra hết chất nhựa và loại bỏ độc tố tốt hơn.,"canh chay, món chay dễ làm",220,18,5,19,33,https://monngonmoingay.com/wp-content/uploads/2015/08/201506031133430000003_monngonmoingay.com-canhbamau-1.jpg
6,Tàu hủ ky chiên xả ớt,"Một món ăn chay ngon và chi phí thấp, cách chế biến vô cùng đơn giản, phổ biến vào dịp lễ Vu Lan.",Món mặn,4 người,35,"Tàu hũ ky lá: 50g, Chao trắng: 1 hũ, Bột mì: ½ chén, Mè trắng rang: 1M, Ngò rí, hành boaro, Sả băm, ớt hiểm băm, Cà chua, dưa leo, rau sống, Dầu ăn, đường, Xốt tương đậu nành LISA","– Hành boaro băm nhỏ. Rang sả băm với hành boaro và ớt đến khi ráo và có mùi thơm. – Ngò rí, cà chua, dưa leo, rau sống rửa sạch, để ráo. Dưa leo, cà chua cắt lát. – Chao lấy 2 viên và 2M cái chao, tán mịn với 4M xốt tương đậu nành LISA và 1/3m đường, cho hỗn hợp sả, hành boaro và ớt vào trộn đều. – Lau sạch bụi trên lá tàu hũ ky bằng khăn ẩm, cắt miếng chữ nhật 3*5cm.","Chiên miếng tàu hũ ky cho vàng, dùng cọ phết hỗn hợp xốt lên, rắc thêm mè rang lên trên.","Xếp tàu hũ ky chiên sả ớt ra dĩa, trang trí với ngò rí, ăn kèm dưa leo, cà chua, rau sống và cơm.","Chọn tàu hũ ky có màu vàng nhạt tự nhiên và hơi trong, không có pha bột. Chọn chao cũ, viên chao nổi lên trên mặt nước chao. Khi chiên để lửa vừa cho tàu hũ ky vàng, phồng đều mà không bị cong.","tàu hũ chiên, tau hu ky",251,38,4,26,12,https://monngonmoingay.com/wp-content/uploads/2015/08/IMG-6253-tau-hu-ky-chien-sa-ot.png
7,Gỏi ngó sen tôm thịt,"Gỏi ngó sen tôm thịt là một món ăn thường thấy và được ưa chuộng bởi vị thanh giòn của ngó sen, kết hợp cùng chua ngọt đậm đà của nước chấm thấm đều trong từng con tôm, miếng thịt. Hãy cùng trổ tài vào bếp với Món ngon mỗi ngày để dành tặng cho gia đình bạn món ăn đơn giản mà tuyệt vời này nhé.",Món mặn,4 người,40,"Thịt ba chỉ   200g, Tôm sú    200g, Ngó sen non   300g, Cà rốt    50g, Cần tàu    5 nhánh, Đậu phộng rang, giã dập 20g, Rau răm, chanh, ớt sừng cắt sợi, Hành phi, tỏi ớt băm, Tiêu, đường, nước mắm, Bột ngọt AJI-NO-MOTO®, Giấm gạo lên men Ajinomoto","–  Ngó sen cắt khúc. Hòa hỗn hợp 1/2 chén giấm gạo lên men LISA®, 1 chén đường và 1 chén nước cho tan. Ngâm ngó sen 2 giờ. Sau khi ngâm, vớt ra, để ráo nước cho vào tủ lạnh. Cần tàu cắt lát mỏng. Rau răm cắt khúc 2cm.,
– Sau khi luộc thịt chín trong nồi nước với 1/2m muối, ngâm thịt trong tô nước. Vớt thịt ra, cắt sợi tương xứng với cọng ngó sen.,
– Tôm luộc chín, bóc vỏ, chừa đuôi.","– Nước mắm trộn gỏi: hòa tan 1/2 chén nước mắm, 1/2 chén đường, 1/2m bột ngọt AJI-NO-MOTO®, nấu tan, để nguội, thêm 1M tỏi ớt băm và vắt thêm 1 miếng chanh.
– Trộn tôm, thịt, ngó sen, cà rốt, cần tàu, ớt sợi với nước mắm trộn gỏi.","– Cho gỏi ra dĩa, rắc hành phi, đậu phộng, rau răm lên, ăn kèm với bánh phồng tôm.
– Ngó sen sau khi ngâm giấm đường cho vào tủ mát để ngó sen có độ giòn.","– Ngó sen chọn loại ngòi viết, cọng nhỏ, chắc, khi ăn sẽ giòn hơn.
– Cắt que thịt ba chỉ giúp thịt thấm gia vị và ăn không có cảm giác ngán.","gỏi ngó sen, gỏi tôm, món gỏi dễ làm, món gỏi ngon",317,32,9,11,28,https://monngonmoingay.com/wp-content/uploads/2015/11/CQC8577-540-e1448028111895.jpg
8,Bánh tráng cuốn xốt Mayo,"Món ăn vặt bắt miệng cho cả nhà với vị chua nhẹ của xoài được cân bằng nhờ bị beo béo của xốt mayonnaise, thêm mùi thơm đặc trưng của rau răm cùng trứng cút, ruốc khô, hành phi… tất cả cùng hòa quyện tạo nên món ngon trên cả bất ngờ! Vệ sinh, an toàn mà đã miệng, sao không làm thử bạn nhỉ?",Món mặn,4 người,30,"Bánh tráng vuông    10 cái, Xoài keo    1 quả, Khô bò xé sợi    50g, Ruốc khô    50g, Trứng cút luộc (bóc vỏ)  10 quả, Mỡ hành    1/2 chén, Rau răm    50g, Đường, tương ớt, dầu ăn, Đậu phộng rang, hành phi, tỏi băm, ớt băm, Xốt Mayonnaise Aji-mayo® Vị Nguyên Bản","– Xoài keo bào sợi nhỏ. Rau răm để nguyên lá. Trứng cút cắt làm 4. Khô bò xé sợi nhuyễn. 
– Đặt chảo lên bếp, phi thơm tỏi, cho ruốc vào rang cho vàng thơm, thêm 1m đường, đảo đều nhắc xuống.","– Trải bánh tráng ra đĩa, xoa một ít nước, rồi xếp lần lượt xoài, rau răm, khô bò, ruốc khô, trứng cút, mỡ hành, đậu phộng , hành phi, xốt Mayonnaise Aji-Mayo®, tương ớt, cuộn lại.","– Cắt cuộn bánh tráng thành miếng vừa ăn, xếp ra đĩa, rồi rưới xốt Mayonnaise Aji-Mayo® và tương ớt lên.",– Khô bò xé sợi nhuyễn để rải đều trong cuốn.,"bánh tráng cuốn, bánh tráng cuốn xốt mayo, món cuốn",288,21,7,23,32,https://monngonmoingay.com/wp-content/uploads/2017/06/banh-trang-cuon-xot-mayo-500.jpg
9,Ốc hương xào củ dừa,"Ốc hương thường được làm với các món như: ốc hương nướng mọi, ốc hương rang muối, ốc hương cháy tỏi,... Hôm nay, Món Ngon Mỗi Ngày xin giới thiệu công thức mới với món ốc hương xào củ dừa. Ốc hương giòn thấm vị kết hợp với độ giòn ngọt của củ hũ dừa đảm bảo hấp dẫn cả nhà. Món ăn còn có vị chua ngọt đậm đà cay nhẹ thơm mùi hành cần và tiêu xanh.
* Củ hũ dừa: Hay còn gọi là cổ hũ dừa (đối với người miền Bắc) hoặc tàu hủ dừa (đối với người miền Tây Nam Bộ). Đây là phần lõi non của ngọn thân trên cây dừa, hay gọi là đọt dừa. Món ăn rất nổi tiếng của miền Tây Nam Bộ. Củ hũ dừa có hương vị thơm giòn ngọt và có giá trị dinh dưỡng rất cao, chứa nhiều vitamin và khoáng chất tốt cho sức khỏe.",Món mặn,4 người,15,"Ốc hương: 700g, Củ hũ dừa tươi: 200g, Cà bi: 50 g, hành tây tím: 1/2 củ, Hành lá: 1/2 chén, Cần tàu: 1/2 chén, Mỡ gáy: 100 g, Tiêu xanh: 1 nhánh, RAU NÊM: Hành tỏi băm, ớt sừng cắt sợi, Gia vị: đường, tiêu, muối, dầu hào., Nước tương ""Phú Sĩ"", Giấm gạo lên men Ajinomoto, Bột gia vị đa năng cao cấp ""AJI-NO-MOTO® UP"", Bột ngọt AJI-NO-MOTO®","Ốc rửa sạch để ráo, chần sơ qua nước, lấy thịt ốc ra. Ướp gia vị: 1M hành tỏi băm, 1m bột gia vị đa năng Ajinomoto UP (hoặc Bột ngọt AJI-NO-MOTO), tiêu xanh. Pha hỗn hợp: 1/2m bột gia vị đa năng ajinomoto up, 1M dầu hào, 1/2m tiêu, 2M giấm, 1/2M đường, 1M nước tương “Phú Sĩ” trong 1 chén (1/2 ướp thêm vào ốc hương, 1/2 còn lại để xào củ hũ dừa)","Làm tóp mỡ: Thắng mỡ, cho thêm 1M nước nóng vào mỡ, cho vào chảo thắng cho ra nước mỡ + 2 tép tỏi, chắt mỡ nước ra chén. Tóp mỡ còn lại trong chảo cho thêm vào 1M giấm xốc nhanh tay trong 1 phút cho tóp mỡ giòn. Xúc tóp mỡ ra dĩa. Xào ốc: Cho 2M mỡ nước vào chảo đun nóng, cho ốc vào xào với lửa to 3 phút cho ốc thấm vị, xúc ra dĩa. Đun nóng lượng mỡ còn lại, phi hành tỏi cho thơm cho củ hũ dừa vào xào chín thêm 1/2 lượng sauce còn lại. Sau đó thêm cà chua, hành tây xào thêm 2 phút cuối cùng trộn ốc vào xong tắt lửa. Cho cần tàu và hành lá ớt vào chảo xào.","Xúc ốc xào ra dĩa rắc tiêu bày ngò ớt và tóp mỡ, tỏi phi. Chấm nước tương Phú Sĩ có ớt cắt át, ớt sừng cắt sợi trang trí lên. Món ăn đi kèm: Canh gà lá me non","– Cho giấm vào tóp mỡ xốc nhẹ trên lửa giúp tóp mỡ giòn và ngon. – Xào ốc với lửa to đến vừa chín tới để giữ độ giòn, ngọt. – Cắt mỡ gáy đều nhau để tạo độ chín, giòn đồng đều.","củ hũ dừa, món ốc xào, ốc hương",232,20,6,13,16,https://monngonmoingay.com/wp-content/uploads/2022/04/oc-huong-xao-cu-dua-880.jpg
10,Cơm hến trộn,"Huế luôn là địa danh nổi tiếng với nền ẩm thực đặc chất Việt Nam vô cùng phong phú và độc đáo. Như món cơm hến trộn, ai đã thử một lần thì mê mãi khó quên. Sự kết hợp hài hòa giữa vị cay nhẹ của ớt, ngọt bùi của thịt hến, beo béo của đậu phộng và tóp mỡ cùng với mùi thơm, vị đậm đà đặc trưng của mắm ruốc Huế. Ai có thể cưỡng lại được?",Món mặn,4 người,45,"Cơm nguội 2 chén, Thịt hến 200g, Bạc hà 1 cây, Khế 1 quả, Hoa chuối bào 30g, Giá sống 100g, Rau thơm: húng cây, rau quế, rau răm, Hành lá cắt nhỏ, gừng đập dập, Đậu phộng rang, mè rang, mỡ nước, tóp mỡ, Hành tỏi băm, ớt băm, Muối, đường, mắm ruốc, dầu điều, Bột ngọt AJI-NO-MOTO®, Hạt nêm Aji-ngon® Heo","– Đun sôi 1 chén nước (khoảng 200ml), cho gừng đập dập và 1/2m muối vào, cho hến vào chần sơ lại, vớt ra, để ráo. Thịt hến ướp với 1 m bột ngọt AJI-NO-MOTO®, 1/2m muối, 1/2m hạt nêm Aji-ngon®, để thấm. – Hoa chuối bào cắt ngắn lại. Bạc hà, khế cắt lát mỏng, bóp muối, xả sạch, vắt ráo. Rau thơm cắt nhuyễn. Giá chần sơ. – Đun nóng 1M dầu điều, cho đậu phộng vào đảo đều với ít muối.","– Đun nóng 2M mỡ nước, cho hành tỏi vào phi thơm, cho hến vào xào săn, rắc hành lá và 1/3m ớt băm vào, tắt lửa. – Pha mắm ruốc: Khuấy đều 2m mắm ruốc, 4M nước nóng, 1/2M đường và tỏi ớt băm, sau đó đun sôi lên.","Cho cơm vào tô, xếp các loại rau, giá chần, tóp mỡ, đậu phộng rang, thịt hến, rắc mè rang, cuối cùng chan mắm ruốc pha và ít sa tế lên.",Xào thịt hến nhanh tay để thịt hến không bị dai và teo lại.,"hến, hến trộn, món cơm",478,28,3,16,25,https://monngonmoingay.com/wp-content/uploads/2016/05/2705_CQC3696_ComHenTron-540-360.jpg
